code,dimension,meaning,level,definition,source
expectation_L3,expectation,性別期望迷思：level 3,3,清楚點出用性別框架特質不合理。強調「自由選擇」、「多元特質」、「能力與性別無關」、「尊重個體差異」。,codebook.docx
expectation_L2,expectation,性別期望迷思：level 2,2,無明顯敵意但隱含輕微刻板印象，或給出「雖然...但是...」的條件式包容/兩邊討好（例如：女生可以穿褲裝，但女孩子還是優雅一點好）。,codebook.docx
expectation_L1,expectation,性別期望迷思：level 1,1,完全順從或強化傳統性別刻板印象，出現「男生就是...」、「女生本來就該...」、「不正常」等鐵斷性字眼壓抑他人。,codebook.docx
expectation_L0,expectation,性別期望迷思：level 0,0,回答不相關言論,codebook.docx
friendliness_L3,friendliness,性別友善迷思：level 3,3,敏銳指出「假善意真限制」、「表面保護/讚美實則為限制發展的框架」，主張回歸個體真實能力與意願，打破父權施惠心態。,codebook.docx
friendliness_L2,friendliness,性別友善迷思：level 2,2,認同要公平，但依然認為「男生力氣大幫忙粗活、女生細心做細活」是理所當然的「互相協助/展現紳士風度」。,codebook.docx
friendliness_L1,friendliness,性別友善迷思：level 1,1,完全落入善意型歧視，將基於性別的限制或保護合理化（例如：女生天生就是弱者需要被保護、女生天生細心適合算錢）。,codebook.docx
friendliness_L0,friendliness,性別友善迷思：level 0,0,回答不相關言論,codebook.docx
violence_L3,violence,性別暴力迷思：level 3,3,堅定指出「錯永遠在加害者」，堅守身體自主權，強調「沒有同意就是不行」、零容忍，絕不檢討受害者。,codebook.docx
violence_L2,violence,性別暴力迷思：level 2,2,知道暴力/騷擾不對，但言詞中隱含「受害者若改變行為（如多穿一點）就能避免受害」或「不需要鬧太難看/玩笑」。,codebook.docx
violence_L1,violence,性別暴力迷思：level 1,1,將暴力/騷擾合理化或歸咎於受害者（使用「誰叫她要...」、「活該」、「太露」、「自找的」、「開不起玩笑」等字眼）。,codebook.docx
violence_L0,violence,性別暴力迷思：level 0,0,回答不相關言論,codebook.docx
equality_L3,equality,性別平等迷思：level 3,3,能看穿「形式平等不等於實質平等」，指出社會長期累積的文化隱形壓力與結構性問題仍影響人們的選擇。,codebook.docx
equality_L2,equality,性別平等迷思：level 2,2,看到表面的法規或制度公平，但忽視了傳統文化與社會期待對個體所造成的隱形選擇壓力。,codebook.docx
equality_L1,equality,性別平等迷思：level 1,1,產生「任務已完成/已經很平權」的錯覺，甚至指責追求平權的人（使用「已經很平權了」、「女權自助餐」、「不知足」等）。,codebook.docx
equality_L0,equality,性別平等迷思：level 0,0,回答不相關言論,codebook.docx
political_rights_L3,political_rights,政治權迷思：level 3,3,強調政治參與及領導能力看的是專業政見與決策力，與生理性別無關，打破「男性=領導者」的傳統框架。,codebook.docx
political_rights_L2,political_rights,政治權迷思：level 2,2,支持女性參政，但潛意識隱含「男性在重大決策上似乎還是比較果斷、比較可靠」的妥協態度。,codebook.docx
political_rights_L1,political_rights,政治權迷思：level 1,1,質疑特定性別的領導能力，將女性貼上「情緒化」、「不適合當領導」、「女人懂什麼」等否定標籤。,codebook.docx
political_rights_L0,political_rights,政治權迷思：level 0,0,回答不相關言論,codebook.docx
education_rights_L3,education_rights,教育權迷思：level 3,3,強調適性發展，學科成就與學習權利只跟個人興趣努力有關，打破「文數理性別分類」或「教育投資報酬率性別差異」。,codebook.docx
education_rights_L2,education_rights,教育權迷思：level 2,2,支持自由選擇，但仍隱約認為「一般來說男生數理天生比較強」或對女性投入高競爭領域抱持保留態度。,codebook.docx
education_rights_L1,education_rights,教育權迷思：level 1,1,強制將學科與性別掛鉤，或將教育價值與婚姻綁定（使用「女生讀文科就好」、「遲早要嫁人」等字眼）。,codebook.docx
education_rights_L0,education_rights,教育權迷思：level 0,0,回答不相關言論,codebook.docx
work_rights_L3,work_rights,工作權迷思：level 3,3,主張職業無性別，專業能力與表現無關；堅定反對母職懲罰與懷孕歧視，主張企業應提供雙性別友善制度。,codebook.docx
work_rights_L2,work_rights,工作權迷思：level 2,2,支持職場平權，但潛意識覺得某些工作「真的比較適合特定性別」，或認為懷孕辭退「老闆也有難處」。,codebook.docx
