code,meaning,main_category,subcategory,definition,source_sheet,source_row
motor_masculinity,機車駕駛技術與陽剛地位象徵,一、生生同儕互動與性別次文化,1.1 陽剛霸權展演與技術/勞動崇拜,學生將考照、駕駛經驗、改車、超車等技術掌控視為成年與同儕地位象徵，並存有對女性駕駛之本質化偏見。,開放式編碼表,2
labor_masculinity,粗重勞動與體力工作之陽剛崇拜,一、生生同儕互動與性別次文化,1.1 陽剛霸權展演與技術/勞動崇拜,學生透過強調打工或課外任務之體力消耗、危險性或勞累程度來換取同儕敬佩，將體力勞動視為展現男性氣概之方式。,開放式編碼表,3
gendered_swearing,性別化髒話作為同儕社交潤滑劑,一、生生同儕互動與性別次文化,1.2 語言微暴力、性別貶抑與次文化玩笑,學生頻繁使用含有性別貶抑起源之髒話（如靠、操、幹你娘、破麻），作為展現哥們默契或粗獷男性氣質之社交語助詞。,開放式編碼表,4
minority_exclusion,性少數標籤化與陰柔特質排斥,一、生生同儕互動與性別次文化,1.2 語言微暴力、性別貶抑與次文化玩笑,學生使用『gay』、『很娘』、『娘娘腔』、『甲甲』等語彙，作為嘲弄同儕、性平講師或男藝人氣質不符陽剛常規之工具。,開放式編碼表,5
feminism_stigma,「女拳」污名化與平權論述之集體防禦,一、生生同儕互動與性別次文化,1.3 平權意識防禦與女權污名化,優勢男性群體面對性別平權推動時產生焦慮，使用『女拳運動』、高舉拳頭等符號，嘲諷女性爭取權益過頭、動輒得咎。,開放式編碼表,6
chivalry_defense,紳士精神與「微歧視」概念之認知防禦,一、生生同儕互動與性別次文化,1.3 平權意識防禦與女權污名化,學生質疑『微歧視』概念會破壞傳統『男強女弱/紳士保護』之美德，憂心男性善意（如幫提重物）被誤解，致社交動輒得咎。,開放式編碼表,7
classroom_questioning_bias,課堂問答與引導追問之性別偏向,二、師生權勢、課堂管教與互動模式,2.1 師生問答、資源分配與學習機會差距,教師因預設女學生容易緊張低頭、耽誤進度，而放棄追問；偏向對男學生進行引導性追問，無形中造成學習與思考機會落差。,開放式編碼表,8
gender_double_standard,常規管理與違規處置之雙重標準,二、師生權勢、課堂管教與互動模式,2.1 師生問答、資源分配與學習機會差距,教師處理違規（如滑手機、沒帶課本、偷吃東西）時，對男生公開嚴厲斥責或沒收，對女生則私下親善提醒，呈現管教雙重標準。,開放式編碼表,9
collective_pressure,公開集體施壓與權勢制約,二、師生權勢、課堂管教與互動模式,2.2 權威施壓與課堂掌控,教師運用課堂評量、下課時間或集體責任（如『答對全班才可以下課』），對學生行使絕對支配權與公開心理施壓。,開放式編碼表,10
teacher_counterexample,男性教師以身作則破除陽剛權威,二、師生權勢、課堂管教與互動模式,2.3 教師能動性與權力翻轉,男性教師有意識地結合自身性別與專業（如輔導），展現溫暖特質，以自身職涯為例向學生證明同理心與職業不分性別。,開放式編碼表,11
verbal_gatekeeping,言語把關與公開制止性別微壓迫,二、師生權勢、課堂管教與互動模式,2.3 教師能動性與權力翻轉,教師敏銳捕捉課堂中對女性苦難之戲謔、恐同言語或微歧視，當場行使言語把關權予以嚴正制止與觀念澄清。,開放式編碼表,12
male_role_model_dominance,科學與歷史典範之男性壟斷,三、課程教材、知識建構與制度空間,3.1 教材典範單一性與異性戀預設,教科書、影片與考卷圖文多呈現男性科學家、法官、歷史決策者，女性角色缺席或多被簡化為輔助、家務者。,開放式編碼表,13
female_role_model_inclusion,補充女性科學家與歷史主體敘事,三、課程教材、知識建構與制度空間,3.2 教材解構與多元典範補充,教師主動補充十九世紀古生物學之母安寧（Mary Anning）、女性受教權歷史或女性作家，翻轉教材之男性單一典範。,開放式編碼表,14
female_observer_awareness,女性觀察員對心理焦慮與隱性設限之敏銳捕捉,四、觀察者視角與自我反思,4.1 觀察員性別視角差異,女性觀察員更傾向於捕捉女學生的學業焦慮、自我設限、評估恐懼，以及對教材中女性處境缺席的省思。,開放式編碼表,15
male_observer_reflection,男性觀察員對陽剛包袱與身分擾動之深刻洞察,四、觀察者視角與自我反思,4.2 觀察員性別視角差異,男性觀察員深刻關注男性同儕內部之陽剛包袱、情感壓抑、性平防禦，並有意識地以自身男性身分示範平權、打破預設。,開放式編碼表,16
